region,year,step,ndvi_mean,ndvi_std,n_samples
Punjab,2024,1,0.5361213554936975,0.1984636173823333,5712
Punjab,2024,2,0.30077276091121613,0.12828107875094158,5712
Punjab,2024,3,0.23287726314592086,0.12420426040811065,5712
Punjab,2024,4,0.3672844626177055,0.16671188101757656,5712
Punjab,2024,5,0.4530570742110469,0.18664703350365755,5712
Punjab,2024,6,0.6525040149626655,0.144671273387549,5712
Punjab,2024,7,0.8085738360041299,0.11268606907867204,5712
Punjab,2024,8,0.849085077092163,0.09560704425620555,5712
Punjab,2024,9,0.8585001505762572,0.11564963325189594,5712
Punjab,2024,10,0.8807111665284448,0.09391251361670601,5712
Punjab,2024,11,0.8302976908497149,0.10996545412773659,5712
Punjab,2024,12,0.5711087469709384,0.13935380032769454,5712
Punjab,2024,13,0.24559293511379549,0.11229901658166588,5712
Punjab,2024,14,0.1912698392935924,0.1242571116381923,5712
