region,year,step,ndvi_mean,ndvi_std,n_samples
Uttar_Pradesh,2024,1,0.5634307331996231,0.20437754030144364,3714
Uttar_Pradesh,2024,2,0.35952424672983313,0.15665206354937045,3714
Uttar_Pradesh,2024,3,0.26596524442170166,0.11852110560864566,3714
Uttar_Pradesh,2024,4,0.3011922459015347,0.13322182888611217,3714
Uttar_Pradesh,2024,5,0.3788734871639876,0.16564314232857263,3714
Uttar_Pradesh,2024,6,0.563488110301427,0.14694788727111907,3714
Uttar_Pradesh,2024,7,0.7506654060522348,0.1330305969839969,3714
Uttar_Pradesh,2024,8,0.8340923838511937,0.08111051536204951,3714
Uttar_Pradesh,2024,9,0.8355968108726441,0.07460628687152573,3714
Uttar_Pradesh,2024,10,0.8074699461434213,0.08545247405733657,3714
Uttar_Pradesh,2024,11,0.5970804274448035,0.17392947501368305,3714
Uttar_Pradesh,2024,12,0.28257946759423797,0.10894715639074834,3714
Uttar_Pradesh,2024,13,0.21209567812574043,0.08496829523799752,3714
Uttar_Pradesh,2024,14,0.19902400463166395,0.10916246138878817,3714
