region,year,step,ndvi_mean,ndvi_std,n_samples
Haryana,2021,1,0.55248119758059,0.22539157839215157,4678
Haryana,2021,2,0.29823274732870175,0.16366953022584652,4678
Haryana,2021,3,0.26879736514129254,0.12858879235044657,4678
Haryana,2021,4,0.39922587623145933,0.1863565020011946,4678
Haryana,2021,5,0.5064509480615078,0.1931355600554692,4678
Haryana,2021,6,0.6480283665082228,0.14764500301248443,4678
Haryana,2021,7,0.8185921795254276,0.10015991122874429,4678
Haryana,2021,8,0.8538149209833262,0.06854578054575494,4678
Haryana,2021,9,0.8808894212890124,0.056022713816600324,4678
Haryana,2021,10,0.8695599790893545,0.06281818657289916,4678
Haryana,2021,11,0.7047042383956819,0.12119161391305633,4678
Haryana,2021,12,0.3370094295681915,0.1053121987746236,4678
Haryana,2021,13,0.18883683153420264,0.05547332820547583,4678
Haryana,2021,14,0.17658216921269773,0.0833884529718483,4678
