region,year,step,ndvi_mean,ndvi_std,n_samples
Punjab,2023,1,0.5764548486006484,0.20521135369782847,7094
Punjab,2023,2,0.2661916645656505,0.1608986347478298,7094
Punjab,2023,3,0.2336611007258928,0.14391488803326588,7094
Punjab,2023,4,0.45962884126881703,0.2050008165059234,7094
Punjab,2023,5,0.5387834431493717,0.19580535030838844,7094
Punjab,2023,6,0.6468433091272436,0.136392484292292,7094
Punjab,2023,7,0.7555709950806818,0.10099609492723222,7094
Punjab,2023,8,0.8387362589349283,0.07521063450087533,7094
Punjab,2023,9,0.8666010161402928,0.07390040145706071,7094
Punjab,2023,10,0.8578119245554593,0.1075437328702329,7094
Punjab,2023,11,0.7814517456316583,0.1288844783997292,7094
Punjab,2023,12,0.6041204369003383,0.17592865721042497,7094
Punjab,2023,13,0.30167722709317735,0.1365665796192398,7094
Punjab,2023,14,0.2075474530689315,0.12585497216776925,7094
