region,year,step,ndvi_mean,ndvi_std,n_samples
Madhya_Pradesh,2022,1,0.5098842319538265,0.19061287198865334,2339
Madhya_Pradesh,2022,2,0.3705940431654553,0.16177527451404927,2339
Madhya_Pradesh,2022,3,0.39410274835827275,0.17911185337573554,2339
Madhya_Pradesh,2022,4,0.5045541449102181,0.2301560679283676,2339
Madhya_Pradesh,2022,5,0.6752315697221035,0.2165103506847437,2339
Madhya_Pradesh,2022,6,0.770965091541257,0.1608569290213881,2339
Madhya_Pradesh,2022,7,0.8119808358208637,0.11039259709064128,2339
Madhya_Pradesh,2022,8,0.8405820077554511,0.08237410132293231,2339
Madhya_Pradesh,2022,9,0.7856149333518598,0.13428409522488147,2339
Madhya_Pradesh,2022,10,0.5939165244959385,0.21106139908121688,2339
Madhya_Pradesh,2022,11,0.36366816340359126,0.18198093730171802,2339
Madhya_Pradesh,2022,12,0.2429631777319367,0.12027549485956772,2339
Madhya_Pradesh,2022,13,0.21693341868747326,0.11098810534580694,2339
Madhya_Pradesh,2022,14,0.25703293782556647,0.16658027419887556,2339
