sample_id,class_name,col_index,cover_area,crop_type,grid_id,label,pos_prop,region,row_index,samples,x,y,year,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14
1,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.30419364171041,30.53432041215721,2022,0.7279968,0.36969697,0.17248908,0.2026013,0.42749327,0.5072464,0.7914598,0.88024515,0.905732225,0.9312193,0.7407675499999999,0.5503158,0.16648993,0.13723654
2,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.10881006741442,30.59414821007957,2022,0.60835075,0.14812611,0.36954412,0.73934996,0.84775805,0.87323606,0.86745405,0.87587374,0.8732149,0.87055606,0.5947597499999999,0.31896344,0.18981482,0.20335986
3,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.3063495983923,30.595585514534164,2022,0.76797247,0.27437326,0.16770187,0.4044665,0.56333333,0.7897453,0.8798587,0.90531564,0.913437785,0.92155993,0.6191847,0.4358752,0.15628767,0.13191119
4,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.34857041674591,30.59118376964198,2022,0.5812439,0.116702355,0.12047641,0.19810683,0.22265625,0.34246576,0.6026229,0.75610995,0.820495305,0.88488066,0.6107769,0.4097778,0.15020297,0.113336004
5,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.28479003157344,30.690896766179247,2022,0.45245662,0.23371366,0.24687877,0.2682927,0.46786836666666665,0.6674440333333334,0.8670197,0.8856838,0.89667385,0.9076639,0.753669865,0.59967583,0.20490547,0.10135135
6,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.3416533890582,30.767343396857814,2022,0.23654996,0.23020707,0.14458743,0.35600907,0.64576805,0.7142371750000001,0.7827063,0.79069126,0.80866283,0.8266344,0.71819425,0.49340692,0.18458933,0.15073529
7,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.36734520618401,30.87594971470787,2022,0.48844376,0.110749185,0.14814815,0.6287792,0.71419648,0.79961376,0.88503104,0.8626026,0.86791435,0.8732261,0.6701270500000001,0.467028,0.20889853,0.16753678
8,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.34578563936515,30.771475647164767,2022,0.27894738,0.47315097,0.26180944,0.5833333,0.86243385,0.868205275,0.8739767,0.8700498,0.877389325,0.88472885,0.691841885,0.49895492,0.33524355,0.29862618
9,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.25209135523149,30.70158671806027,2022,0.6908127,0.23426758,0.17791411,0.370292,0.5627758,0.7229901000000001,0.8832044,0.887604,0.904857,0.92211,0.68255633,0.56659466,0.17891611,0.15318744
10,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.36815368993973,30.748299112834484,2022,0.46106908,0.08183944,0.20703125,0.7252021,0.90465313,0.910548765,0.9164444,0.89591247,0.893011185,0.8901099,0.61306185,0.3360138,0.1520515,0.09031959
11,wheat,0,0.254,wheat,4,1,0.833577816582764,Punjab,3,134,74.09470651745374,30.512221856167876,2022,0.69274354,0.1411043,0.1562719,0.25574273,0.5038233,0.63345162,0.76307994,0.84168243,0.853906115,0.8661298,0.71723755,0.5683453,0.24860455,0.1670633
