sample_id,class_name,col_index,cover_area,crop_type,grid_id,label,pos_prop,region,row_index,samples,x,y,year,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14
19,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.27805266694254,30.75674327650521,2021,0.3035367,0.23183829,0.11895276,0.23595506,0.40771812,0.6726945099999999,0.9376709,0.87676454,0.9087606,0.8732143,0.58488303,0.42887104,0.22432433,0.13293052
20,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.25002523007801,30.565042794874103,2021,0.6563342,0.110526316,0.1047041,0.20232333,0.47969052,0.64119373,0.80269694,0.85687584,0.88279676,0.86446023,0.65660155,0.2994475,0.13145337,0.1573604
21,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.30661909297754,30.690267945480365,2021,0.81465137,0.40878654,0.21854305,0.13893653,0.26789838,0.27023855,0.82460517,0.8695763,0.9141385,0.9087057,0.7978118,0.65924066,0.25530243,0.1550152
22,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.34048557918885,30.82923731993365,2021,0.6816417,0.22224008,0.128945,0.2544946,0.58641064,0.5435323,0.9080951,0.82926303,0.8694746,0.8794842,0.66200465,0.50802827,0.24046293,0.19524463
23,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.32458539865993,30.690896766179247,2021,0.25204274,0.18075423,0.27934486,0.29642856,0.56125355,0.57471657,0.9059324,0.8623382,0.8962137,0.87360924,0.6537037,0.42137593,0.22961855,0.20821919
24,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.30652926144913,30.666911748093256,2021,0.6106322,0.17803204,0.14572865,0.23937963,0.50180507,0.48692685,0.82312477,0.8280543,0.8631095,0.8211344,0.61995757,0.32459468,0.22222222,0.14269006
25,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.32332775726216,30.684249233076763,2021,0.7168784,0.30753282,0.16970803,0.24979658,0.55940396,0.71171141,0.86401886,0.8558559,0.9040853,0.8930848,0.60524744,0.35465354,0.2532403,0.17461568
26,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.32440573560311,30.531086477134384,2021,0.6791444,0.19573057,0.11312217,0.17094775,0.55328876,0.72448208,0.8956754,0.9048161,0.90923077,0.8864279,0.7256439,0.2610648,0.14791404,0.13451512
27,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.21490110246894,30.62343328834187,2021,0.66816145,0.3231756,0.22164276,0.26874474,0.52681386,0.64456738,0.7623209,0.7616893,0.7613769,0.7668253,0.6210393,0.3148953,0.2694414,0.13671696
28,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.31587174040396,30.53521872744133,2021,0.7358944,0.2903993,0.12371946,0.1687898,0.35820076,0.5657446,0.83372366,0.86870897,0.7322515,0.742842,0.5715909,0.21613486,0.18653576,0.19897959
